PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jonathan Isaac,ORL,32,1,17.5,1.46,1.5,0.6,0.8,74.1,74.1,21.2,3,21.2,6.1,72.7,96.1
Marvin Bagley III,DET,26,1.5,16.8,1.2,1.8,0.9,1.4,62.2,62.2,2.5,5,2.5,0,60,64.5
Jaren Jackson Jr.,MEM,47,0.9,4.2,1.12,1,0.4,0.7,58.1,58.1,20.9,16.3,18.6,9.3,53.5,47
Pascal Siakam,TOR,39,0.8,4,1.44,1.2,0.5,0.8,70,70,12.5,3.1,12.5,9.4,68.8,95.7
Evan Mobley,CLE,24,1.5,10.1,1.28,1.9,0.8,1.3,66.7,66.7,11.1,8.3,11.1,2.8,63.9,81.9
Jeremy Sochan,SAS,50,0.9,7,1,0.9,0.4,0.7,54.1,54.1,10.9,13,10.9,4.3,50,28.5
Wendell Carter Jr.,ORL,24,1.3,13.1,1.41,1.9,0.7,1,68,68,21.9,6.3,18.8,6.3,68.8,95.3
Isaiah Stewart,DET,35,1.1,10.3,1.13,1.3,0.5,1,50,50,12.5,0,10,2.5,55,48.7
Paolo Banchero,ORL,50,0.8,3.4,1.07,0.9,0.4,0.7,54.5,54.5,16.7,7.1,14.3,2.4,54.8,37.9
Ausar Thompson,DET,49,1.2,12.7,0.78,0.9,0.4,1,40.8,40.8,8.6,10.3,8.6,3.4,39.7,9.1
Luke Kornet,BOS,33,1.1,26.1,1.26,1.3,0.6,1,60.6,60.6,11.4,5.7,11.4,11.4,57.1,74.6
Trayce Jackson-Davis,GSW,34,1.2,21,1.07,1.3,0.6,1,57.1,57.1,9.8,4.9,9.8,0,56.1,38.4
Donovan Mitchell,CLE,38,0.6,2.4,1.79,1.1,0.5,0.6,81.8,86.4,12.5,0,12.5,4.2,83.3,100
Tristan Thompson,CLE,36,1,25.9,1.23,1.2,0.6,0.9,65.6,65.6,8.6,2.9,5.7,2.9,62.9,68.1
Zach Collins,SAS,38,1.2,8.9,0.98,1.1,0.5,0.9,55.9,55.9,11.4,13.6,11.4,2.3,50,26.7
Dwight Powell,DAL,42,0.8,21.2,1.31,1,0.5,0.6,74.1,74.1,6.3,9.4,6.3,0,68.8,86.1
Franz Wagner,ORL,42,0.8,3.8,1.31,1,0.3,0.5,56.5,58.7,28.1,6.3,28.1,6.3,62.5,86.1
Kyle Kuzma,WAS,48,0.7,3,1.28,0.9,0.4,0.6,63.3,65,6.3,3.1,6.3,3.1,62.5,82.3
Tobias Harris,PHI,44,0.8,4.8,1.21,0.9,0.4,0.7,58.6,60.3,11.8,2.9,11.8,0,58.8,65.5
Kevin Love,MIA,39,0.8,9.8,1.25,1,0.3,0.6,59.1,59.1,28.1,6.3,25,3.1,62.5,73.7
