PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Khris Middleton,MIL,41,1.2,8.3,0.82,1,0.4,1,37.5,37.5,16,8,16,4,42,16.4
Anthony Edwards,MIN,47,0.9,3.6,0.95,0.9,0.3,0.6,46.7,46.7,19,14.3,16.7,4.8,47.6,37.1
Devin Booker,PHX,40,0.8,3.3,1.15,1,0.3,0.6,56.5,56.5,24.2,15.2,18.2,9.1,54.5,78.4
Jeff Green,HOU,47,0.7,13,1.09,0.8,0.3,0.6,57.7,57.7,14.7,11.8,8.8,2.9,55.9,62.1
Isaiah Stewart,DET,35,1.3,11.6,0.8,1,0.3,0.7,40,40,26.7,20,26.7,2.2,46.7,13.8
Rui Hachimura,LAL,36,0.9,8.5,1.09,1,0.4,0.7,54.2,54.2,25,12.5,25,12.5,50,64.7
Naz Reid,MIN,50,1,9.1,0.65,0.7,0.3,0.8,31.7,31.7,9.6,11.5,9.6,0,34.6,5.2
Brook Lopez,MIL,47,0.7,6,0.97,0.7,0.3,0.6,53.6,53.6,8.8,11.8,8.8,2.9,50,42.2
Jabari Smith Jr.,HOU,44,0.8,6.4,0.94,0.8,0.3,0.6,46.4,46.4,14.3,5.7,14.3,0,51.4,35.3
Miles Bridges,CHA,37,0.9,4.2,0.97,0.8,0.3,0.7,46.2,46.2,15.6,9.4,15.6,6.3,46.9,41.4
Kelly Olynyk,UTA,49,0.4,5.6,1.38,0.6,0.2,0.3,68.8,68.8,23.8,9.5,23.8,9.5,66.7,96.6
Saddiq Bey,ATL,48,0.7,5.5,0.85,0.6,0.2,0.4,40,40,23.5,17.6,17.6,0,47.1,19.8
Clint Capela,ATL,47,0.6,5.3,1.08,0.6,0.2,0.4,47.4,47.4,23.1,3.8,23.1,0,57.7,61.2
Marvin Bagley III,DET,26,1,11.3,1.04,1.1,0.4,0.8,50,50,22.2,11.1,18.5,7.4,51.9,56.9
Moritz Wagner,ORL,48,0.6,6.7,0.9,0.6,0.3,0.6,44.4,44.4,9.7,6.5,9.7,3.2,45.2,27.6
Jeremy Sochan,SAS,50,0.7,5.6,0.76,0.6,0.2,0.6,33.3,33.3,13.5,5.4,8.1,0,40.5,11.2
Isaiah Jackson,IND,38,0.5,9.2,1.35,0.7,0.3,0.4,80,80,15,15,15,5,70,94
