PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Derrick White,BOS,45,5.3,42.8,0.93,5,2,4.6,44,49.3,5,9.2,5,1.7,41.8,43.4
Dejounte Murray,ATL,48,4.9,42.4,0.94,4.6,1.8,3.8,47.8,53.3,8,17.3,5.5,2.1,42.6,39.9
Dereck Lively II,DAL,36,7.3,57,0.86,6.3,2.4,5.5,43.7,47.7,9.8,16.7,9.1,1.9,40.5,68.5
Karl-Anthony Towns,MIN,48,6.2,47.2,0.78,4.8,1.8,4.7,37,41.2,9.4,16.8,8.7,2.3,35.2,86.8
Mikal Bridges,BKN,48,5.6,45.2,0.86,4.8,1.9,4.7,40.9,46,5.9,11.9,5.9,1.1,38.9,68.7
Jrue Holiday,BOS,45,5.4,41,0.95,5.2,2.1,4.4,47.5,53,6.5,13.1,6.5,1.2,43.3,36.9
Moritz Wagner,ORL,46,6.2,61.7,0.84,5.3,2.1,5,41.3,45,8,13.9,6.3,2.1,39,73.6
Luguentz Dort,OKC,48,5.1,41,1.02,5.2,1.8,3.6,50,54.9,15.5,15.9,13.5,1.6,49,16.7
Zach Collins,SAS,38,7.3,55.2,0.92,6.7,2.7,5.8,46.4,50.2,8.7,13.7,7.9,2.5,43,47.2
Onyeka Okongwu,ATL,46,5.7,52.8,0.99,5.7,2.1,4.2,51,58.9,9.2,20.2,8.4,2.7,43.5,24
Jonas Valanciunas,NOP,44,6.9,58.9,0.87,6,2.1,4.9,43.3,50.7,11.5,21,10.8,3,38.4,67.9
Victor Wembanyama,SAS,44,6.9,53.2,0.88,6,2.4,5.7,42.2,47.2,6.3,12.9,5.3,1.7,39.4,64.4
Nic Claxton,BKN,38,8.1,56.2,0.91,7.3,2.9,6.5,44,50.8,5.5,14,5.5,0.3,40.4,54.2
Kristaps Porzingis,BOS,36,8.4,49.7,0.92,7.8,3.1,7.2,43.2,47.5,7.6,7.6,7.3,1,43.4,47.4
Bam Adebayo,MIA,39,8.5,60.7,0.85,7.2,2.6,6.5,40.6,46.1,10,15.4,9.7,2.1,38.7,72.5
Jarrett Allen,CLE,41,8.1,53.3,0.85,6.9,2.8,6.3,44.4,47.3,8.2,15.7,7.3,1.5,40.2,70.6
Jeremy Sochan,SAS,50,5.8,43.6,0.97,5.7,2.2,4.6,47.4,52.8,10.3,13.7,10.3,2.7,44.5,30.7
Goga Bitadze,ORL,32,8.8,68.4,1.01,8.9,3.3,6.5,49.8,54.1,14.2,14.6,12.5,3.2,47.7,19.4
Jakob Poeltl,TOR,36,8.8,60,0.92,8.1,3.3,7.4,44.7,49.2,6,11,4.4,0.9,42.3,50.1
Isaiah Hartenstein,NYK,43,8.3,63.4,0.82,6.8,2.6,6.3,40.4,44.1,9,15.7,8.1,0.8,38.7,79.8
Malik Beasley,MIL,47,6.2,50,1,6.2,2.4,5.3,45.4,50.2,9.6,6.8,8.6,1.7,45.9,19.9
Ivica Zubac,LAC,38,8.7,61,0.9,7.8,3.1,7,43.4,46.4,9.4,12.8,8.8,3.3,41.3,56.1
