PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Josh Giddey,OKC,49,0.7,5.6,0.81,0.6,0.2,0.5,38.5,42.3,16.7,16.7,16.7,5.6,38.9,30.2
Jalen Suggs,ORL,46,0.6,4.6,1.04,0.6,0.2,0.5,47.8,54.3,7.4,7.4,3.7,0,48.1,69.8
Bruce Brown,IND,32,0.7,5.9,1.23,0.8,0.3,0.5,64.7,67.6,9.1,13.6,9.1,0,59.1,96.6
Immanuel Quickley,NYK,29,1,7.1,0.96,0.9,0.3,0.6,50,55.6,17.9,17.9,14.3,0,46.4,55.3
Deni Avdija,WAS,49,0.6,5.2,0.87,0.6,0.1,0.4,28.6,31,29,6.5,22.6,3.2,41.9,40.2
Kyle Anderson,MIN,50,0.7,9.6,0.77,0.5,0.2,0.6,37.5,37.5,5.7,2.9,5.7,0,40,23.5
Kelly Oubre Jr.,PHI,36,0.6,4.3,1.3,0.7,0.3,0.5,50,61.1,15,5,15,10,50,98.3
Andrew Wiggins,GSW,42,0.7,5.6,0.81,0.6,0.2,0.6,33.3,37,9.7,3.2,6.5,0,38.7,30.7
Tyler Herro,MIA,30,0.8,3.6,1.04,0.8,0.3,0.6,55.6,55.6,17.4,13,17.4,8.7,52.2,70.9
Rui Hachimura,LAL,36,0.8,7.7,0.79,0.6,0.2,0.6,28.6,28.6,24.1,3.4,20.7,0,44.8,26.8
Talen Horton-Tucker,UTA,32,1,8.5,0.7,0.7,0.3,0.9,30,30,12.1,0,12.1,3,36.4,13.4
Lonnie Walker IV,BKN,30,0.6,5.3,1.22,0.7,0.2,0.5,43.8,59.4,11.1,0,11.1,0,50,96.1
Kelly Olynyk,UTA,49,0.5,6.2,0.96,0.4,0.1,0.3,41.2,44.1,17.4,13,17.4,4.3,43.5,53.1
Bojan Bogdanovic,DET,28,1.2,6.2,0.67,0.8,0.3,1.1,25.8,29,9.1,0,9.1,3,30.3,10.7
Cameron Johnson,BKN,39,0.5,3.6,1.17,0.5,0.2,0.4,53.3,60,11.1,11.1,11.1,5.6,50,91
Kristaps Porzingis,BOS,36,0.7,4.3,0.81,0.6,0.1,0.5,29.4,29.4,23.1,11.5,23.1,0,42.3,31.3
Jabari Smith Jr.,HOU,44,0.7,5.5,0.7,0.5,0.2,0.5,30.4,32.6,16.7,10,16.7,3.3,36.7,14.1
Bobby Portis,MIL,49,0.5,4,0.87,0.4,0.2,0.4,45.5,45.5,0,4.3,0,0,43.5,39.7
Jeremy Sochan,SAS,50,0.6,4.3,0.71,0.4,0.2,0.5,33.3,35.4,7.1,10.7,7.1,3.6,32.1,16.4
Scoot Henderson,POR,41,1.1,6.9,0.43,0.5,0.2,0.9,21.1,26.3,2.2,15.2,2.2,0,17.4,3.4
Zach Collins,SAS,38,0.4,3.4,1.12,0.5,0.2,0.3,53.8,53.8,23.5,5.9,23.5,5.9,58.8,83.7
Klay Thompson,GSW,44,0.5,3.1,0.83,0.4,0.1,0.4,37.5,40.6,13,17.4,13,0,39.1,33.5
T.J. McConnell,IND,39,0.4,4.4,1.2,0.5,0.2,0.4,64.3,64.3,0,6.7,0,0,60,95.5
Nic Claxton,BKN,38,0.4,3.6,1.2,0.5,0.2,0.3,53.8,53.8,20,0,20,6.7,60,95.5
Payton Pritchard,BOS,49,0.3,4.3,1.13,0.4,0.1,0.3,46.2,53.8,12.5,6.3,12.5,0,50,85.4
Aaron Holiday,HOU,46,0.3,5.3,1.13,0.4,0.1,0.3,42.9,50,20,0,20,13.3,46.7,86.6
Dario Saric,GSW,44,0.4,3.9,1.06,0.4,0.2,0.3,53.8,53.8,12.5,6.3,12.5,0,56.3,73.2
Saddiq Bey,ATL,48,0.4,3.1,0.9,0.4,0.1,0.3,38.5,38.5,31.6,5.3,31.6,5.3,47.4,44.7
Evan Mobley,CLE,24,0.9,6.1,0.77,0.7,0.3,0.6,40,40,22.7,9.1,22.7,0,45.5,24.3
Jalen Duren,DET,34,0.6,5.3,0.77,0.5,0.1,0.4,33.3,33.3,27.3,13.6,22.7,9.1,40.9,24.3
Marcus Smart,MEM,20,0.8,4.6,1.07,0.8,0.3,0.5,60,65,13.3,20,0,0,53.3,74.3
Dante Exum,DAL,32,0.5,6.4,1,0.5,0.2,0.4,50,50,6.3,6.3,6.3,0,50,65.1
De'Andre Hunter,ATL,26,0.8,5.8,0.8,0.6,0.3,0.7,38.9,44.4,0,10,0,0,35,27.9
Caleb Martin,MIA,33,0.8,7.4,0.61,0.5,0.2,0.6,36.8,39.5,3.8,23.1,3.8,0,30.8,10.1
Dennis Smith Jr.,BKN,32,0.8,10.1,0.59,0.5,0.2,0.7,21.7,21.7,11.1,3.7,3.7,0,29.6,7.8
Jaden McDaniels,MIN,40,0.3,2.4,1.5,0.4,0.2,0.2,77.8,83.3,0,10,0,0,70,99.4
Andrew Wiggins,IND,36,0.4,3.5,1.15,0.4,0.2,0.3,70,70,7.7,15.4,7.7,0,61.5,88.8
Kris Dunn,UTA,43,0.3,5.5,1.07,0.3,0.1,0.2,55.6,55.6,21.4,14.3,21.4,0,57.1,75.8
Michael Porter Jr.,DEN,51,0.3,1.9,1.07,0.3,0.1,0.2,58.3,62.5,0,14.3,0,0,50,75.8
Killian Hayes,DET,41,0.4,4.9,0.88,0.4,0.1,0.4,40,43.3,5.9,5.9,0,0,41.2,42.1
Eric Gordon,PHX,41,0.4,3.7,0.83,0.4,0.1,0.2,40,45,27.8,22.2,27.8,5.6,44.4,36.2
Tre Jones,SAS,45,0.5,5,0.68,0.3,0.2,0.5,33.3,33.3,4.5,0,4.5,0,36.4,12.3
