PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kentavious Caldwell-Pope,DEN,49,3,30.7,0.88,2.6,0.9,2.6,33.9,45.7,5.5,8.2,4.8,0.7,33.6,84.4
Peyton Watson,DEN,49,2.4,30.9,1.07,2.6,0.9,2,44.4,57.1,9.2,10,9.2,1.7,43.3,44.1
Dorian Finney-Smith,BKN,42,2.8,25.6,1.08,3,1,2.5,41.5,56.6,4.2,6.7,3.4,0,41.2,41.8
Doug McDermott,SAS,44,2.3,46.4,1.25,2.9,1,2.2,45.8,65.6,2.9,2.9,2.9,0,44.1,9.5
De'Anthony Melton,PHI,33,3.7,34.6,1.05,3.9,1.5,3.2,44.9,58.9,2.4,12.2,1.6,1.6,39.8,49.9
Aaron Nesmith,IND,45,3.1,24.8,0.94,2.9,1,2.8,36,46.8,6.5,5.1,6.5,2.2,37,74.9
Cedi Osman,SAS,48,2.3,40.3,1.2,2.8,1,2,49,64.8,4.5,9.1,4.5,2.7,45.5,16.2
David Roddy,MEM,46,3.1,39,0.94,2.9,1,2.7,37.4,49.6,7,7.7,5.6,0.7,37.8,76.3
Haywood Highsmith,MIA,36,3.2,33.7,1.17,3.7,1.3,2.9,44.8,59.5,5.2,5.2,5.2,1.7,44.3,21.7
Pat Connaughton,MIL,44,2.6,35,1.18,3,1.1,2.5,45.4,59.7,3.5,3.5,3.5,1.8,44.7,20.9
Keldon Johnson,SAS,46,3.2,31.1,0.92,2.9,1,3,35.3,47.8,2.7,4.8,2.7,0,35.4,79.4
Isaiah Joe,OKC,45,3,47.5,1.01,3,1,2.7,36.7,51.2,5.2,6,4.5,0.7,37.3,59.6
Jordan Clarkson,UTA,40,2.8,42.3,1.23,3.4,1.2,2.6,45.6,64.1,3.6,3.6,3.6,0.9,44.5,12.8
Buddy Hield,IND,49,2.9,28.2,0.96,2.8,1,2.7,38.5,51.2,1.4,7.7,1.4,0.7,35.9,70.2
Keyonte George,UTA,44,2.9,33.2,1.08,3.1,1.1,2.7,40.3,57.1,0,5.6,0,0,38.1,40.7
John Collins,UTA,47,2.7,30.2,1.09,2.9,1,2.4,41.2,55.7,6.4,4,6.4,1.6,41.6,37.9
Collin Sexton,UTA,51,2.5,33.2,1.06,2.7,0.9,2.4,38.2,53.7,2.3,3.1,1.6,0.8,38,46.2
Jamal Murray,DEN,37,4.4,33.5,0.86,3.7,1.3,4.2,31.8,43.2,2.5,3.1,2.5,1.2,31.7,86.3
Spencer Dinwiddie,BKN,46,2.6,28.5,1.15,3,1.1,2.5,43.6,57.7,1.7,1.7,1.7,0.8,43.3,24.8
Aaron Gordon,DEN,45,3.7,34.4,0.83,3.1,1.1,3.3,32.7,41.8,6,7.7,6,1.2,33.3,88.8
Nickeil Alexander-Walker,MIN,49,2.5,26.4,1.15,2.9,1,2.3,42.9,58.9,4.9,4.9,4.9,1.6,42.6,25.3
Jaden Ivey,DET,44,2.6,24.7,1.22,3.2,1,2.3,45,60.5,11.3,4.3,10.4,2.6,47.8,13.9
Chet Holmgren,OKC,49,2.5,17.7,1.16,2.9,1,2.3,44.7,57.9,4.1,3.3,4.1,0.8,45.1,24.5
Grant Williams,DAL,42,3.5,32.8,0.97,3.4,1.2,3.2,37,50.7,2.7,4.8,2.7,0,36.3,66.9
Jordan Hawkins,NOP,41,3.5,43.4,0.98,3.5,1.1,3.1,36.4,50,4.1,6.9,4.1,0,36.6,65.7
Jerami Grant,POR,43,3,30.9,1.08,3.3,1.1,2.6,44.1,57.2,8.4,7.6,7.6,0.8,43.5,39.3
Kelly Oubre Jr.,PHI,36,3.4,37.9,1.18,4,1.3,3,43.9,59.8,8.3,5,7.4,1.7,45.5,19
Matisse Thybulle,POR,47,2.8,38,1.08,3.1,1.1,2.5,44.4,57.3,5.3,8.3,5.3,1.5,42.9,39.8
Cason Wallace,OKC,50,3,33,0.97,2.9,1,2.6,36.4,50.8,6,7.4,6,2,36.2,66.6
Jalen Williams,OKC,44,3.1,32.3,1.07,3.3,1.2,2.8,41.8,55.7,4.4,7.3,4.4,0.7,40.9,44.6
Franz Wagner,ORL,42,3.2,31.1,1.07,3.5,1.3,2.9,43.1,56.9,3.7,7.4,3.7,1.5,41.2,42.1
Santi Aldama,MEM,38,3.9,47.1,0.99,3.9,1.3,3.4,38.5,52.3,6.1,8.1,5.4,2,37.8,64.1
Taurean Prince,LAL,47,3,25.2,1.06,3.2,1,2.7,38.9,52.8,5.7,4.3,5.7,0,40.7,45.7
Damian Lillard,MIL,45,3,24.9,1.1,3.3,1.1,2.7,42.1,57,5.2,6.7,4.4,1.5,41.5,35.1
Nikola Vucevic,CHI,43,3.1,19.1,1.11,3.5,1.2,2.8,41,54.5,8.2,3,8.2,2.2,43.3,32.9
Tyus Jones,WAS,49,2.7,31.2,1.12,3,1.1,2.5,42.7,56.5,4.5,4.5,4.5,2.3,42.1,30.4
Josh Hart,NYK,48,3.7,36.3,0.84,3.1,1.2,3.5,33.7,44.6,1.1,6.2,1.1,0.6,32,87.5
Alperen Sengun,HOU,49,3.3,18,0.94,3.1,1.1,2.9,37.8,48.6,4.4,6.9,3.8,0.6,37.5,76
Ochai Agbaji,UTA,51,2.7,36.7,1.07,2.9,1,2.5,40.3,54.3,5.7,3.6,5,1.4,41.4,42.7
Keegan Murray,SAC,43,2.9,25.2,1.22,3.5,1.2,2.6,48.2,62.7,5.7,4.9,4.9,0,48.8,13.6
Jalen Suggs,ORL,44,2.6,25.1,1.3,3.4,1.1,2.3,49.5,67.2,9.6,6.1,9.6,1.7,50.4,5
LeBron James,LAL,44,3.8,44,0.92,3.4,1.2,3.4,35.3,49.3,1.2,7.9,1.2,0,33.3,80.2
Jaylen Brown,BOS,45,3.1,30.6,1.07,3.4,1.2,2.8,41.3,57.1,3.5,7.8,2.8,0.7,39,43.2
Brandin Podziemski,GSW,37,3.6,38.5,1.12,4.1,1.4,3.3,40.7,54.5,8.1,2.2,7.4,1.5,43.7,30.9
Fred VanVleet,HOU,47,3.3,27.4,0.99,3.2,1.1,3.1,37,49.7,3.9,2.6,3.9,2,37.3,63.8
Donte DiVincenzo,NYK,49,3.1,35.4,1.01,3.1,1.1,2.8,38.2,51.1,5.3,6,5.3,2,38,57.9
Herbert Jones,NOP,42,3.9,37.6,0.94,3.6,1.3,3.4,37.1,49.3,6.2,6.8,5.6,1.2,37,74.1
