PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jaren Jackson Jr.,MEM,47,0.6,5,1.04,0.6,0.2,0.5,41.7,54.2,7.4,7.4,7.4,3.7,40.7,54.7
Dejounte Murray,ATL,48,0.5,3.9,1.27,0.6,0.3,0.5,54.5,63.6,0,0,0,0,54.5,23.3
P.J. Washington,CHA,41,0.6,4.7,1.26,0.7,0.2,0.4,55.6,66.7,13,8.7,13,0,56.5,24.3
Andre Drummond,CHI,46,0.5,5.9,1.36,0.7,0.2,0.4,57.9,71.1,9.1,9.1,4.5,4.5,54.5,18.2
Kevon Looney,GSW,45,0.7,6.9,1,0.7,0.3,0.6,42.9,50,6.5,3.2,6.5,0,45.2,62.3
Dario Saric,GSW,43,0.6,6.9,1.19,0.7,0.3,0.5,54.5,65.9,3.8,11.5,3.8,0,50,31.5
Miles Bridges,CHA,38,0.6,5.4,1.29,0.8,0.3,0.6,50,62.5,4.2,0,4.2,4.2,50,22.1
Myles Turner,IND,46,0.7,4.7,1,0.7,0.3,0.6,48.3,55.2,3.1,6.3,3.1,0,43.8,62.3
Jonas Valanciunas,NOP,44,1.1,9.1,0.72,0.8,0.3,1,31,35.7,4.3,6.4,2.1,0,31.9,86.7
Chet Holmgren,OKC,49,0.8,5.8,0.85,0.7,0.3,0.7,38.9,45.8,2.5,7.5,2.5,0,37.5,79.6
Daniel Gafford,WAS,44,0.6,4.5,1.31,0.8,0.3,0.5,50,61.4,15.4,0,15.4,0,57.7,19.3
Jalen Duren,DET,33,0.7,4.7,1.42,1,0.4,0.7,54.2,70.8,0,0,0,0,54.2,13.9
Isaiah Stewart,DET,34,0.9,6.9,1.2,1.1,0.4,0.8,51.9,63,3.3,6.7,0,0,50,28.4
Deandre Ayton,POR,33,0.9,5.3,1.19,1.1,0.4,0.9,48.3,60.3,3.2,3.2,3.2,0,48.4,30.9
Lauri Markkanen,UTA,41,0.6,4.9,1.52,0.9,0.4,0.6,65.2,76.1,8,4,8,4,64,6.6
Victor Wembanyama,SAS,44,0.9,7,0.97,0.9,0.4,0.8,45.9,50,2.5,5,2.5,0,45,67.8
Jakob Poeltl,TOR,36,1.1,7.6,0.97,1.1,0.4,0.9,47.1,52.9,7.5,12.5,7.5,5,42.5,67.8
Cole Anthony,ORL,49,0.4,4.4,1.95,0.8,0.3,0.4,77.8,100,15,5,15,10,75,0.6
Karl-Anthony Towns,MIN,48,0.8,5.7,1.11,0.8,0.3,0.7,41.2,57.4,5.6,2.8,5.6,2.8,41.7,45.3
Joel Embiid,PHI,34,1,6.2,1.14,1.2,0.4,0.9,41.9,53.2,11.4,2.9,11.4,2.9,45.7,39.1
Jarrett Allen,CLE,41,1.1,7.6,0.98,1.1,0.4,1,42.9,50,4.3,6.4,4.3,0,42.6,66.9
Ivica Zubac,LAC,38,1,7.1,1.21,1.2,0.5,1,48.6,59.5,5.3,0,5.3,2.6,50,27.1
Isaiah Hartenstein,NYK,43,0.7,5.7,1.53,1.1,0.4,0.7,60.7,75,12.5,3.1,12.5,3.1,62.5,6.1
Scottie Barnes,TOR,49,0.9,6.3,1.19,1,0.4,0.8,48.6,58.1,11.6,4.7,9.3,2.3,51.2,33.7
Kristaps Porzingis,BOS,36,1.2,6.9,1.24,1.4,0.6,1.1,48.8,63.4,0,2.4,0,0,47.6,24.9
Jusuf Nurkic,PHX,42,1,6.1,1.3,1.2,0.5,0.9,54.1,63.5,7.5,2.5,7.5,2.5,55,20.2
Alperen Sengun,HOU,49,1.3,7.4,0.8,1.1,0.5,1.2,37.7,43.4,0,7.6,0,0,34.8,82.3
Anthony Davis,LAL,46,0.8,4.5,1.47,1.2,0.4,0.7,58.8,75,5.6,2.8,5.6,2.8,58.3,9.4
Brook Lopez,MIL,46,1.5,7.5,0.84,1.2,0.5,1.3,33.9,41.1,4.5,3,4.5,0,35.8,80.7
Zach Collins,SAS,38,1,7.8,1.44,1.5,0.5,0.9,57.1,72.9,12.8,0,12.8,2.6,59,13.3
Domantas Sabonis,SAC,44,1.2,7.2,1.37,1.6,0.6,1.1,56,67,3.9,0,3.9,2,56.9,17.7
Rudy Gobert,MIN,48,1.1,6.7,1.39,1.5,0.6,1,57.4,68.1,9.6,1.9,9.6,1.9,59.6,16.6
Nikola Vucevic,CHI,43,1.7,10.1,1.03,1.7,0.6,1.5,41.5,51.5,7,2.8,7,1.4,42.3,55.2
Nikola Jokic,DEN,47,1.7,10.9,1.11,1.9,0.8,1.6,47.4,57.2,3.8,2.5,2.5,2.5,46.8,44.2
