PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Alperen Sengun,HOU,49,2.1,10.1,1.27,2.7,1,1.6,61.5,67.3,17.5,10.7,15.5,3.9,60.2,79.1
Donte DiVincenzo,NYK,49,2.2,19.4,1.2,2.7,1,1.8,52.8,67.4,7.3,12.8,5.5,1.8,47.7,64.1
Norman Powell,LAC,48,2.5,21.5,1.11,2.7,1,2,48.5,58.8,10.2,10.2,9.3,2.5,45.8,45.8
Naz Reid,MIN,50,2.1,18,1.25,2.6,0.9,1.6,57.3,64.6,12.6,8.7,10.7,1,57.3,74.2
Jalen Johnson,ATL,35,3.2,21.9,1.14,3.7,1.6,2.6,61.1,64.4,9.7,15.9,9.7,5.3,53.1,52.5
Jeremy Sochan,SAS,50,2.3,17.8,1.1,2.6,1.1,1.7,63.9,66.9,12.8,17.9,12.8,1.7,54.7,42.3
Luguentz Dort,OKC,48,2.5,24.7,1.08,2.7,0.9,2,41.8,51.5,12.6,5.9,12.6,0.8,46.2,37.1
Brandon Ingram,NOP,44,3,14.4,0.96,2.9,1,2.2,46.3,51.6,13.5,16.5,12,1.5,45.1,20.3
Derrick White,BOS,45,3,21.2,0.94,2.8,1,2.5,40.7,49.6,8.1,8.8,7.4,0,41.9,18
Zion Williamson,NOP,38,2.3,11.4,1.43,3.3,1.4,1.8,76.5,76.5,21.3,6.7,20.2,4.5,74.2,92.5
Cade Cunningham,DET,40,3.2,13,1.01,3.2,1.2,2.4,49,57.8,8.7,15.1,6.3,0,45.2,27
Dillon Brooks,HOU,40,3.2,24.1,1,3.2,1.2,2.5,46,55,9.4,14.2,9.4,2.4,43.3,23.6
Terry Rozier,CHA,30,4.5,20.2,0.95,4.2,1.6,3.5,46.2,51.4,11.2,13.4,11.2,2.2,44,18.8
Taurean Prince,LAL,47,2.2,23.7,1.2,2.7,1,1.9,51.1,66.1,3.8,10.6,2.9,1,47.1,64.7
Zach LaVine,CHI,25,4.2,22.1,1.2,5,1.6,3,54.7,60,22.1,10.6,20.2,4.8,56.7,64.7
Jerami Grant,POR,43,2.6,12.7,1.14,2.9,0.9,1.7,51.4,56.1,27.3,10.9,25.5,5.5,55.5,51
Isaac Okoro,CLE,38,2.5,30.7,1.27,3.2,1.2,1.7,67.7,70.8,25,13.5,25,6.3,62.5,78.6
Tyler Herro,MIA,30,4,18.7,0.99,4,1.4,3.5,39.4,51.9,5.8,8.3,4.2,0.8,39.2,22.3
Domantas Sabonis,SAC,47,2.7,14.8,0.93,2.5,1,1.8,55.8,57.6,14.8,22.7,13.3,4.7,46.9,15.9
Aaron Gordon,DEN,45,2.5,19.5,1.05,2.6,1,1.7,58.7,62.7,17.9,17.9,15.2,2.7,52.7,32.8
CJ McCollum,NOP,34,3.3,18.4,1.04,3.4,1.2,2.8,44.2,54.7,9,8.1,8.1,2.7,43.2,31.3
Bilal Coulibaly,WAS,48,2.2,25.5,1.09,2.4,0.9,1.5,57.7,62,20,15.2,18.1,2.9,53.3,39.8
Kentavious Caldwell-Pope,DEN,49,2.2,23,1.06,2.3,0.9,1.9,45.7,54.8,6.5,6.5,5.6,0,46.3,35.9
Jimmy Butler,MIA,35,2.5,13.4,1.31,3.3,1,1.7,59,63.1,25.3,8,24.1,3.4,63.2,84.6
Bruce Brown,IND,32,2.8,24.2,1.27,3.6,1.4,2.3,61.1,68.1,14.4,10,14.4,4.4,58.9,77.9
Caris LeVert,CLE,37,2.7,16.8,1.14,3.1,1.1,2.1,53.9,61.2,15,10,14,1,53,51.6
Karl-Anthony Towns,MIN,49,1.9,9.1,1.24,2.3,0.8,1.4,55.7,66.4,14.3,14.3,14.3,5.5,51.6,72.8
Josh Hart,NYK,48,2.3,27.7,1,2.3,1,1.7,57.3,59.8,8,20.5,7.1,1.8,48.2,23.6
Cedi Osman,SAS,50,1.7,24.6,1.34,2.2,0.8,1.4,60,71.4,10.8,10.8,9.6,6,55.4,87.5
Klay Thompson,GSW,44,2.5,14.4,1.03,2.5,0.9,2,42.2,53.9,7.4,10.2,7.4,0.9,40.7,28.8
Max Strus,CLE,47,2.5,18.6,0.95,2.3,0.9,2,43.8,52.6,5.2,12.1,5.2,0,40.5,19.1
Anfernee Simons,POR,28,3.4,15.2,1.13,3.8,1.3,2.7,49.3,58,13.7,11.6,12.6,4.2,48.4,48.7
Christian Braun,DEN,51,1.9,26.8,1.1,2.1,0.7,1.4,55.1,56.5,22.7,9.3,20.6,3.1,57.7,42.9
Tre Jones,SAS,45,2.2,22.7,1.07,2.4,1,1.7,60.5,62.5,9,18,8,3,52,36.2
Terance Mann,LAC,42,1.8,24.5,1.36,2.5,1,1.6,61.8,67.6,10.4,3.9,9.1,2.6,62.3,89.3
Peyton Watson,DEN,49,1.8,26.3,1.18,2.1,0.8,1.3,59.7,63.7,20.5,11.4,19.3,2.3,60.2,60.2
Kelly Oubre Jr.,PHI,36,2.6,20.2,1.11,2.9,1.1,2.1,49.4,55.8,12.9,5.4,12.9,1.1,52.7,44.9
Khris Middleton,MIL,41,2.5,17,1,2.5,1,1.9,52.6,60.9,5.8,19.4,5.8,1,44.7,23.6
Cameron Johnson,BKN,39,2.4,18.1,1.11,2.6,1,2,48.7,55.8,12,5.4,10.9,2.2,51.1,45.2
Duncan Robinson,MIA,45,1.9,15.9,1.16,2.2,0.8,1.7,50,61.2,4.6,8,4.6,0,48.3,55.9
Rui Hachimura,LAL,36,2.3,21.8,1.22,2.8,1.1,1.8,60.6,64.4,14.6,8.5,14.6,3.7,58.5,69.3
Quentin Grimes,NYK,44,1.9,25.9,1.21,2.3,0.9,1.7,51.4,62.8,8.4,6,8.4,3.6,49.4,65.2
Scoot Henderson,POR,41,2.8,16.9,0.89,2.4,0.7,1.6,42.4,45.5,24.8,20.4,21.2,3.5,42.5,11.9
Josh Green,DAL,36,2,23.8,1.36,2.8,1.1,1.6,69,80.2,8.2,12.3,5.5,0,60.3,88.4
Corey Kispert,WAS,48,1.7,16.7,1.19,2.1,0.7,1.4,51.5,61.8,13.3,10.8,13.3,6,49.4,63.1
John Collins,UTA,47,1.8,13.5,1.19,2.1,0.9,1.4,61.2,64.2,12,10.8,12,3.6,57.8,63.1
Jaden McDaniels,MIN,40,2.1,20.7,1.17,2.5,1,1.7,60.3,62.5,11.8,12.9,11.8,4.7,54.1,56.2
Cole Anthony,ORL,49,2.4,18.8,0.84,2,0.7,1.7,40.5,42.9,15.3,15.3,13.6,1.7,42.4,8.1
Cason Wallace,OKC,50,1.4,24.5,1.35,1.9,0.8,1.3,60.3,73.8,2.8,9.7,2.8,0,55.6,87.8
Jabari Smith Jr.,HOU,44,2.1,17,1.04,2.2,0.8,1.7,48,54,10.8,10.8,10.8,2.2,47.3,31
Eric Gordon,PHX,41,2.3,19.3,1.01,2.3,0.9,2,46.3,55,5.3,11.6,4.2,1.1,43.2,27.2
P.J. Washington,CHA,42,1.9,13.4,1.22,2.3,0.9,1.7,54.3,64.3,3.8,7.7,3.8,1.3,51.3,69
Derrick Jones Jr.,DAL,44,1.8,19.5,1.19,2.2,0.9,1.5,58.8,61,13.8,7.5,13.8,6.3,57.5,61.9
Jordan Clarkson,UTA,41,3,15.3,0.79,2.3,0.8,2.2,36,41,9.9,18.2,8.3,1.7,34.7,6.4
De'Anthony Melton,PHI,33,2.6,21.5,1.09,2.8,1,2.3,44,54,9.3,4.7,7,1.2,46.5,39.4
Jamal Murray,DEN,37,2.5,12.8,1,2.5,0.9,2.1,45.5,51.9,8.5,10.6,7.4,1.1,44.7,23.6
Bam Adebayo,MIA,40,2.5,12,0.94,2.3,0.8,1.6,46.2,46.9,24.2,15.2,24.2,5.1,48.5,17.7
Dorian Finney-Smith,BKN,42,2,21.9,1.09,2.2,0.8,1.9,44.9,55.8,6,3.6,6,2.4,44,39.8
Talen Horton-Tucker,UTA,32,2.8,22.6,1.04,2.9,1.1,2,56.3,60.9,14.8,17,13.6,4.5,48.9,31.6
Lonnie Walker IV,BKN,30,2.5,22.2,1.21,3,1.1,2.2,51.5,64.4,4,8,4,0,49.3,67.2
Patrick Williams,CHI,43,1.8,17.3,1.18,2.1,0.8,1.3,59.6,67.5,13,14.3,13,1.3,55.8,60.2
DeMar DeRozan,CHI,48,1.8,8.4,1.08,1.9,0.6,1.1,55.6,57.4,22.6,16.7,20.2,3.6,54.8,39.1
Ochai Agbaji,UTA,51,1.3,23.4,1.32,1.8,0.7,1.2,61.3,67.7,7.4,7.4,7.4,5.9,57.4,85.8
Bobby Portis,MIL,49,1.5,12.9,1.22,1.8,0.7,1.2,57.9,65.8,14.9,12.2,14.9,4.1,55.4,67.8
Nikola Jokic,DEN,49,1.7,7.3,1.1,1.8,0.8,1,74,75,15.9,28,12.2,4.9,53.7,40.6
Ausar Thompson,DET,49,2,21.5,0.91,1.8,0.7,1.3,56.3,56.3,13.3,24.5,13.3,3.1,46.9,14.2
Immanuel Quickley,NYK,29,2.6,18.7,1.18,3,1,2.2,46.9,57.8,10.8,4.1,10.8,1.4,50,58.8
Jordan Hawkins,NOP,44,1.9,19.8,1.02,2,0.7,1.7,40,54,4.7,7.1,4.7,0,40,28.1
Spencer Dinwiddie,BKN,46,2.2,16.3,0.88,1.9,0.7,1.8,37.8,44.5,9.1,11.1,9.1,3,37.4,11
Isaiah Joe,OKC,47,1.4,19.6,1.28,1.8,0.7,1.3,50,68.5,1.5,6,1.5,0,47.8,81.7
Keyonte George,UTA,45,1.8,14.5,1.05,1.9,0.7,1.5,44.8,55.2,9.9,8.6,8.6,1.2,45.7,31.9
Shaedon Sharpe,POR,32,2.9,16.6,0.91,2.7,1,2.2,44.9,49.3,15.1,16.1,14,5.4,41.9,14.8
Grant Williams,DAL,45,1.5,18.1,1.24,1.9,0.6,1.3,49.2,63.6,8.8,7.4,7.4,2.9,48.5,71.1
Simone Fontecchio,UTA,49,1.5,17.9,1.12,1.7,0.6,1.2,50,65,5.3,14.7,5.3,0,44,47.2
Santi Aldama,MEM,38,2,18.4,1.1,2.2,0.8,1.6,51.7,60.8,14.5,10.5,13.2,3.9,48.7,43.8
Tari Eason,HOU,22,3.2,31.4,1.19,3.8,1.6,2.7,58.3,63.3,7.1,8.6,7.1,1.4,55.7,61.3
Georges Niang,CLE,47,1.5,16.7,1.19,1.8,0.6,1.3,46.8,62.9,4.3,7.1,4.3,0,45.7,61.3
Myles Turner,IND,47,1.6,10.6,1.11,1.8,0.6,1.3,45.2,54,13.3,8,12,4,46.7,44.6
Toumani Camara,POR,49,1.6,20.5,1.06,1.7,0.6,1.2,51.7,61.7,9,14.1,7.7,0,48.7,35.7
