PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Ish Smith,CHA,41,2,43.8,0.59,1.2,0.6,1.6,38.5,38.5,0,22.6,0,0,29.8,11.1
Dennis Smith Jr.,BKN,32,1.9,22.5,0.82,1.5,0.5,1.3,41.5,43.9,13.3,21.7,13.3,3.3,38.3,39.3
Jeremy Sochan,SAS,50,1.6,12.2,0.61,1,0.4,1.1,33.3,35.1,6.3,23.8,6.3,1.3,28.7,12.8
Brandin Podziemski,GSW,40,1.1,11.6,1.07,1.2,0.5,0.9,58.3,65.3,4.4,20,4.4,4.4,46.7,89.7
Dillon Brooks,HOU,40,1.1,8.3,1.04,1.2,0.4,0.9,44.1,48.5,15.9,9.1,15.9,2.3,47.7,88.5
Amen Thompson,HOU,30,1.7,23.2,0.89,1.5,0.6,1.3,46.2,46.2,15.4,13.5,13.5,3.8,46.2,53.2
Jaren Jackson Jr.,MEM,47,1.1,5,0.89,1,0.4,0.9,46.3,50,7.7,17.3,7.7,3.8,40.4,53.2
Caleb Martin,MIA,33,1.7,16.3,0.79,1.4,0.6,1.4,41.3,44.6,7,14,7,1.8,36.8,31.2
Bryce McGowens,CHA,39,1,19.3,1.1,1.1,0.4,0.7,58.6,63.8,10.3,15.4,10.3,0,53.8,93.2
Andrew Wiggins,GSW,42,1.5,11,0.7,1,0.4,1.2,32.7,35.7,8.2,11.5,8.2,0,34.4,20.1
Donte DiVincenzo,NYK,49,1,8.3,0.89,0.9,0.3,0.7,44.1,51.5,6.4,21.3,6.4,0,38.3,56.4
Grayson Allen,PHX,43,0.8,7.9,1.14,1,0.3,0.5,65.2,78.3,11.1,30.6,11.1,5.6,47.2,95.7
Jonathan Kuminga,GSW,45,1,6.9,0.95,0.9,0.4,0.8,47.1,51.5,16.3,9.3,16.3,4.7,46.5,71.4
Jordan Goodwin,PHX,38,1.1,18.1,0.95,1,0.4,0.9,50,52.9,7.3,12.2,7.3,2.4,43.9,70.9
Vasilije Micic,OKC,29,1.7,38.7,0.79,1.3,0.6,1.3,42.1,47.4,4.2,18.8,4.2,2.1,35.4,31.6
Delon Wright,WAS,28,1.9,39.7,0.7,1.4,0.5,1.6,28.3,28.3,14.8,3.7,11.1,3.7,35.2,18.9
Luguentz Dort,OKC,48,0.7,7.1,1.09,0.8,0.3,0.5,53.8,59.6,20.6,11.8,20.6,8.8,52.9,91.5
Jevon Carter,CHI,48,1,16.3,0.8,0.8,0.3,0.8,41,46.2,2.2,13,0,0,37,35.9
Dyson Daniels,NOP,48,1,15.2,0.77,0.8,0.3,0.7,44.1,44.1,6.4,21.3,6.4,0,38.3,24.8
Nick Smith Jr.,CHA,33,1.5,21.2,0.75,1.1,0.5,1.2,38.5,46.2,0,18.8,0,0,31.3,23.6
Christian Braun,DEN,51,0.8,11.9,0.81,0.7,0.3,0.7,35.1,40.5,9.3,7,9.3,2.3,37.2,38
Kentavious Caldwell-Pope,DEN,49,0.9,9.4,0.77,0.7,0.2,0.7,36.4,37.9,11.4,15.9,11.4,2.3,36.4,26.9
Herbert Jones,NOP,43,0.6,6.4,1.22,0.8,0.3,0.5,57.1,61.9,18.5,7.4,14.8,3.7,59.3,98.7
Malachi Flynn,TOR,31,1.6,28.7,0.65,1.1,0.4,1.2,32.4,37.8,7.8,21.6,5.9,2,27.5,14.2
De'Andre Hunter,ATL,26,1.1,8.4,1.1,1.2,0.5,0.9,54.2,62.5,3.4,13.8,3.4,0,48.3,93.6
Shake Milton,MIN,38,1,18.9,0.82,0.8,0.3,0.7,48.1,51.9,7.7,25.6,5.1,2.6,38.5,39.7
Bilal Coulibaly,WAS,48,1,11.2,0.7,0.7,0.2,0.7,32.4,36.8,15.2,13,13,2.2,32.6,18.4
