PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Pascal Siakam,TOR,39,0.7,5.9,1.39,0.9,0.4,0.5,75,75,19.2,7.7,11.5,3.8,69.2,3.8
Grayson Allen,PHX,43,0.6,4.7,1.44,0.8,0.3,0.4,72.2,72.2,24,12,20,8,68,3
Haywood Highsmith,MIA,36,0.7,7.3,1.48,1,0.3,0.4,75,75,40,8,36,12,72,1.9
Derrick White,BOS,45,0.9,7.2,0.97,0.9,0.4,0.8,50,50,10,10,10,5,47.5,56
Zach Collins,SAS,38,1,7.6,1.05,1.1,0.4,0.8,56.7,56.7,13.2,13.2,10.5,5.3,52.6,39
P.J. Washington,CHA,41,0.7,6.1,1.33,1,0.4,0.6,70.8,70.8,13.3,10,10,3.3,66.7,7.1
Spencer Dinwiddie,BKN,46,1,10.5,0.93,0.9,0.3,0.8,44.4,44.4,13.6,4.5,13.6,0,50,63.5
Jae'Sean Tate,HOU,46,0.7,9.9,1.31,0.9,0.3,0.5,63.6,63.6,31.3,6.3,21.9,6.3,68.8,7.5
Jrue Holiday,BOS,45,1,7.9,0.92,1,0.4,0.8,50,50,10.6,10.6,10.6,2.1,46.8,66.2
Nikola Vucevic,CHI,43,1,6.1,1.02,1,0.4,0.7,51.6,51.6,16.3,14,16.3,2.3,51.2,45.9
Al Horford,BOS,40,1,8.3,1.1,1.1,0.5,0.8,54.5,54.5,12.2,9.8,12.2,2.4,53.7,31.6
Daniel Gafford,WAS,44,1,7.6,1.04,1,0.4,0.8,50,50,15.9,6.8,13.6,4.5,52.3,40.8
Kristaps Porzingis,BOS,36,0.9,5.6,1.35,1.3,0.6,0.9,64.5,64.5,11.8,2.9,11.8,5.9,64.7,6
Nick Richards,CHA,38,1.1,10.3,1.14,1.3,0.6,1,56.8,56.8,11.6,7,11.6,4.7,55.8,23.7
Stephen Curry,GSW,43,0.9,9.6,1.28,1.2,0.5,0.8,63.6,63.6,15.4,5.1,15.4,5.1,64.1,10.2
Aaron Nesmith,IND,45,1,8.4,1.11,1.2,0.4,0.8,55.9,55.9,23.4,10.6,23.4,6.4,55.3,29.7
Lauri Markkanen,UTA,41,1.1,8.7,1.18,1.3,0.5,0.8,55.9,55.9,22.7,6.8,20.5,6.8,59.1,18.1
Buddy Hield,IND,49,0.9,8.7,1.18,1.1,0.4,0.8,59.5,59.5,15.9,4.5,15.9,4.5,59.1,18.1
John Collins,UTA,47,0.8,9.2,1.37,1.1,0.4,0.6,76.9,76.9,23.7,10.5,21.1,2.6,71.1,4.9
Jamal Murray,DEN,37,1.3,10,1.27,1.6,0.8,1.2,65.1,65.1,12.5,2.1,12.5,4.2,66.7,11.7
Chet Holmgren,OKC,49,1.2,8.9,1.02,1.3,0.5,0.9,51.1,51.1,16.4,13.1,11.5,3.3,50.8,46.2
Alperen Sengun,HOU,49,1.6,9,1.11,1.8,0.8,1.3,60.9,60.9,16.3,10,13.8,6.3,58.8,28.6
