PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kyrie Irving,DAL,27,1,4.5,1.04,1.1,0.4,1,42.9,50,3.6,0,3.6,3.6,42.9,53.5
Cameron Johnson,BKN,39,0.8,6.3,0.91,0.7,0.3,0.8,32.3,41.9,6.3,0,6.3,3.1,34.4,40.1
Gordon Hayward,CHA,25,1.4,8.9,0.85,1.2,0.4,1.1,39.3,41.1,11.8,8.8,11.8,2.9,41.2,29.3
P.J. Washington,CHA,42,0.4,3.1,1.56,0.7,0.2,0.3,71.4,82.1,22.2,5.6,16.7,5.6,72.2,98.1
Trae Young,ATL,44,0.6,2.1,1.12,0.6,0.2,0.5,50,60,16,8,12,4,52,69.9
Luke Kennard,MEM,23,1.3,14.1,0.93,1.2,0.4,1.3,33.3,46.7,0,0,0,0,33.3,45.2
John Collins,UTA,47,0.7,5,0.9,0.6,0.2,0.6,40.7,51.9,0,12.9,0,0,35.5,39.5
Aaron Nesmith,IND,45,0.4,4.1,1.42,0.6,0.2,0.4,47.1,64.7,10.5,0,10.5,0,52.6,94.9
Derrick White,BOS,45,0.4,3,1.42,0.6,0.2,0.3,61.5,84.6,15.8,15.8,15.8,0,57.9,94.9
Georges Niang,CLE,47,0.4,4.8,1.35,0.6,0.2,0.4,55.6,69.4,5,5,5,0,55,89.8
Gary Trent Jr.,TOR,44,0.9,7.8,0.69,0.6,0.2,0.8,30.3,37.9,5.1,10.3,5.1,0,30.8,10.8
Kevin Huerter,SAC,45,0.5,5,1.13,0.6,0.2,0.5,42.9,61.9,0,8.7,0,0,39.1,72
Franz Wagner,ORL,42,0.7,3.3,0.93,0.6,0.2,0.6,40,40,10.7,0,10.7,0,46.4,44.6
