PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Malik Beasley,MIL,47,0.9,7.4,0.77,0.7,0.3,0.8,33.3,38.5,7,7,7,4.7,32.6,82.4
Coby White,CHI,50,0.6,4.8,1.06,0.7,0.3,0.6,44.8,56.9,0,6.5,0,0,41.9,42.9
Spencer Dinwiddie,BKN,46,0.6,6.4,1.22,0.7,0.3,0.5,52.2,60.9,11.1,7.4,11.1,3.7,51.9,19.8
Collin Sexton,UTA,51,0.5,6.9,1.22,0.6,0.2,0.4,45.5,63.6,11.1,7.4,7.4,0,48.1,19.8
Jaden Ivey,DET,44,0.6,5.4,1.32,0.8,0.2,0.5,45,57.5,20,4,16,4,52,10.3
Giannis Antetokounmpo,MIL,47,0.5,4.3,1.5,0.7,0.3,0.4,60,80,4.5,4.5,4.5,0,59.1,3.4
Jaden McDaniels,MIN,40,1,7.2,0.9,0.9,0.3,0.8,33.3,40.9,10.5,5.3,10.5,2.6,36.8,65.2
Taurean Prince,LAL,47,0.7,6.3,0.97,0.7,0.3,0.7,38.7,50,5.7,5.7,5.7,0,40,58.4
Cam Reddish,LAL,33,0.8,8.9,1.21,1,0.3,0.7,41.7,50,17.9,0,17.9,3.6,50,21.6
Cade Cunningham,DET,40,0.8,6.9,1.06,0.9,0.3,0.7,42.9,55.4,6.1,9.1,3,0,42.4,44.2
Grant Williams,DAL,42,0.7,6.3,1.25,0.8,0.3,0.5,59.1,68.2,10.7,10.7,10.7,0,57.1,17.7
Luka Doncic,DAL,41,0.5,4.1,1.67,0.9,0.3,0.5,66.7,81,4.8,0,4.8,4.8,66.7,1.7
Miles Bridges,CHA,38,0.6,4.7,1.67,0.9,0.3,0.5,72.2,86.1,9.5,9.5,9.5,4.8,66.7,1.7
Cason Wallace,OKC,50,0.7,8.2,0.97,0.7,0.3,0.6,43.3,53.3,5.4,13.5,5.4,0,40.5,57.9
Keldon Johnson,SAS,46,0.8,7.4,1.03,0.8,0.3,0.7,43.3,51.7,5.7,8.6,5.7,0,42.9,48.9
Jordan Poole,WAS,47,0.7,7.3,1.13,0.8,0.3,0.6,48.3,60.3,3.1,6.3,3.1,0,46.9,33.5
Jarred Vanderbilt,LAL,27,1.1,14.4,1.16,1.3,0.4,1,42.9,55.4,9.7,0,9.7,0,48.4,28.8
Pat Connaughton,MIL,44,0.6,8.3,1.33,0.8,0.3,0.5,59.1,70.5,11.1,7.4,11.1,0,59.3,8.7
Amir Coffey,LAC,32,0.8,10.3,1.5,1.1,0.4,0.6,60,80,8.3,8.3,8.3,0,58.3,3.4
Derrick Jones Jr.,DAL,44,0.8,8.6,1,0.8,0.3,0.7,43.8,56.3,2.7,13.5,2.7,2.7,37.8,54
Brandon Ingram,NOP,44,0.8,8.5,1.06,0.8,0.3,0.8,41.2,51.5,5.7,2.9,5.7,5.7,40,45.1
