PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Dwight Powell,DAL,42,0.8,21.2,1.47,1.1,0.4,0.5,81.8,81.8,25,12.5,25,6.3,75,91.8
Paolo Banchero,ORL,50,1,4.2,0.92,0.9,0.3,0.8,40.5,45.2,11.8,5.9,11.8,0,45.1,22.2
Kelly Olynyk,UTA,49,0.7,8.8,1.39,0.9,0.4,0.5,69.2,82.7,9.1,18.2,6.1,6.1,57.6,85.4
Kyle Kuzma,WAS,48,1,4.5,0.92,0.9,0.3,0.9,37.2,44.2,12.2,8.2,10.2,8.2,36.7,21.6
Christian Wood,LAL,45,1,13.7,0.96,1,0.4,0.8,47.1,48.5,17.8,8.9,17.8,2.2,48.9,27.5
DeAndre Jordan,DEN,26,1,23.9,1.61,1.6,0.7,0.9,82.6,82.6,26.9,0,26.9,15.4,80.8,97.7
Trayce Jackson-Davis,GSW,34,1,17.9,1.2,1.2,0.5,0.9,62.1,62.1,17.1,5.7,14.3,5.7,60,58.8
Isaiah Joe,OKC,47,0.8,10.5,1.14,0.9,0.3,0.7,37.1,55.7,2.8,0,2.8,0,38.9,51.5
Scottie Barnes,TOR,49,0.8,4.1,1,0.8,0.3,0.7,46.9,50,12.2,9.8,12.2,0,48.8,30.4
Luke Kornet,BOS,33,0.8,19.4,1.54,1.2,0.5,0.6,78.9,78.9,23.1,7.7,23.1,3.8,76.9,95.9
Walker Kessler,UTA,43,0.7,9.4,1.33,0.9,0.4,0.6,69.2,69.2,10,6.7,10,3.3,66.7,79.9
James Wiseman,DET,31,1,19.7,1.29,1.3,0.5,0.9,63,63,16.1,0,16.1,3.2,67.7,75.4
Jaylin Williams,OKC,42,0.9,23.1,1.08,1,0.4,0.8,42.9,54.3,5.4,2.7,5.4,2.7,43.2,44.1
Jabari Walker,POR,46,0.8,9.7,1.08,0.9,0.3,0.6,48.3,50,24.3,5.4,24.3,8.1,54.1,44.1
Kevon Looney,GSW,46,0.7,13.4,1.3,0.8,0.3,0.5,64,64,16.7,6.7,16.7,6.7,63.3,76.6
Isaiah Stewart,DET,35,1.2,10.8,0.91,1.1,0.4,0.9,42.4,48.5,11.9,14.3,11.9,4.8,40.5,17.5
Jaxson Hayes,LAL,39,0.7,21.8,1.42,0.9,0.4,0.5,80,80,19.2,11.5,15.4,7.7,69.2,88.3
Santi Aldama,MEM,38,0.8,7.3,1.17,0.9,0.4,0.7,53.6,57.1,6.7,3.3,6.7,3.3,53.3,54.7
Bismack Biyombo,MEM,29,1.4,22.3,0.88,1.2,0.6,1.1,48.5,48.5,7.5,12.5,5,2.5,45,14
Grant Williams,DAL,45,0.8,9.6,0.94,0.8,0.3,0.7,40.6,53.1,2.8,11.1,2.8,2.8,36.1,25.3
Dominick Barlow,SAS,22,1.2,26.8,1.27,1.5,0.7,1.1,62.5,62.5,11.5,0,11.5,3.8,65.4,70.2
Max Strus,CLE,47,0.5,3.9,1.33,0.7,0.2,0.5,50,70.5,4.2,4.2,4.2,0,50,79.9
Larry Nance Jr.,NOP,31,0.8,16.6,1.23,1,0.4,0.6,55,62.5,15.4,7.7,15.4,0,57.7,65.1
Julius Randle,NYK,45,0.9,3.7,0.76,0.7,0.3,0.8,35.3,42.6,4.9,14.6,4.9,2.4,31.7,7
Grayson Allen,PHX,43,0.5,4.6,1.43,0.7,0.2,0.4,58.8,70.6,19,9.5,19,9.5,57.1,88.9
Miles Bridges,CHA,37,0.7,3.4,1.15,0.8,0.3,0.6,41.7,52.1,7.7,0,7.7,0,46.2,53.2
Xavier Tillman,MEM,34,1.3,17.2,0.67,0.9,0.4,1.2,35,35,8.9,2.2,8.9,0,35.6,4.1
Trey Lyles,SAC,33,0.4,6.4,2.07,0.9,0.3,0.4,75,100,21.4,0,21.4,7.1,78.6,100
Pascal Siakam,TOR,39,0.6,2.8,1.32,0.7,0.3,0.4,64.7,73.5,9.1,13.6,4.5,0,59.1,77.2
Marcus Morris Sr.,PHI,36,0.7,10.5,1.21,0.8,0.3,0.6,42.9,57.1,12.5,4.2,12.5,4.2,45.8,60.2
Precious Achiuwa,TOR,25,1.2,13.2,1,1.2,0.5,1,48,50,13.8,3.4,13.8,3.4,48.3,30.4
Aaron Nesmith,IND,45,0.4,3.4,1.75,0.6,0.2,0.3,60,86.7,6.3,0,0,0,62.5,98.8
Sam Hauser,BOS,48,0.4,5.7,1.47,0.6,0.2,0.4,55.6,77.8,0,5.3,0,0,52.6,93.5
Simone Fontecchio,UTA,49,0.4,4.5,1.47,0.6,0.2,0.3,56.3,78.1,5.3,10.5,5.3,0,52.6,93.5
Jabari Smith Jr.,HOU,44,0.6,4.7,1.08,0.6,0.2,0.5,41.7,50,7.7,0,7.7,0,46.2,42.4
Al Horford,BOS,40,0.9,12.8,0.78,0.7,0.3,0.7,41.4,48.3,0,19.4,0,0,33.3,8.3
Kevin Durant,PHX,42,0.4,1.7,1.5,0.6,0.2,0.4,62.5,75,11.1,5.6,11.1,5.6,61.1,94.7
Mason Plumlee,LAC,18,1.1,20.8,1.35,1.5,0.6,0.7,76.9,76.9,35,10,35,10,75,81.3
Luguentz Dort,OKC,48,0.4,4.4,1.29,0.6,0.2,0.4,45,65,4.8,0,4.8,0,47.6,73.2
Jonathan Kuminga,GSW,45,0.5,3.4,1.29,0.6,0.2,0.3,73.3,73.3,14.3,14.3,14.3,0,66.7,73.2
Ausar Thompson,DET,49,0.5,5.7,1.04,0.6,0.3,0.4,59.1,59.1,15.4,15.4,15.4,15.4,50,35.7
Jayson Tatum,BOS,46,0.7,3,0.79,0.6,0.2,0.5,32,42,11.8,14.7,11.8,0,35.3,10.5
De'Andre Hunter,ATL,26,0.7,5.2,1.44,1,0.3,0.6,56.3,65.6,22.2,0,22.2,11.1,61.1,89.5
Thomas Bryant,MIA,25,0.8,20.4,1.24,1,0.4,0.7,64.7,64.7,14.3,4.8,14.3,0,66.7,66.5
Tristan Thompson,CLE,36,0.6,16.3,1.18,0.7,0.4,0.5,68.4,68.4,0,13.6,0,0,59.1,56.1
Rui Hachimura,LAL,36,0.7,6.6,1.04,0.7,0.3,0.5,52.6,55.3,16,12,16,4,52,36.5
Danilo Gallinari,WAS,26,1,16.4,0.96,1,0.4,1,44,48,3.7,3.7,0,0,44.4,28.1
Tim Hardaway Jr.,DAL,46,0.6,3.6,0.93,0.6,0.2,0.6,38.5,44.2,10.7,3.6,10.7,7.1,39.3,22.8
Bogdan Bogdanovic,ATL,47,0.4,2.2,1.41,0.5,0.1,0.3,46.7,66.7,11.8,0,11.8,0,52.9,87.7
Obi Toppin,IND,50,0.5,5,1.04,0.5,0.2,0.4,45,55,8.7,4.3,8.7,0,47.8,38
Saddiq Bey,ATL,48,0.3,2,1.92,0.5,0.2,0.3,75,95.8,8.3,0,8.3,8.3,75,99.4
Aaron Wiggins,OKC,47,0.3,6,1.64,0.5,0.2,0.3,76.9,84.6,7.1,0,7.1,0,78.6,98.2
Charles Bassey,SAS,19,0.8,26.3,1.53,1.2,0.6,0.7,78.6,78.6,6.7,6.7,6.7,6.7,73.3,95.3
Jimmy Butler,MIA,35,0.5,2.5,1.38,0.6,0.2,0.3,58.3,62.5,25,0,25,0,68.8,83.6
Royce O'Neale,BKN,47,0.4,5.1,1.22,0.5,0.2,0.3,50,68.8,0,11.1,0,0,44.4,62.6
Thaddeus Young,TOR,21,1,22.7,1,1,0.5,1,52.4,52.4,9.1,0,4.5,4.5,50,30.4
David Roddy,MEM,47,0.5,5.1,0.91,0.4,0.2,0.4,47.4,47.4,8.7,8.7,8.7,0,47.8,20.5
Mitchell Robinson,NYK,20,0.8,11.9,1.25,1,0.5,0.8,66.7,66.7,6.3,0,6.3,0,62.5,68.8
Jalen Suggs,ORL,46,0.5,3.8,0.91,0.4,0.2,0.4,44.4,50,9.1,13.6,9.1,4.5,40.9,18.3
Neemias Queta,BOS,22,0.6,14.3,1.46,0.9,0.4,0.5,81.8,81.8,7.7,7.7,7.7,0,76.9,91.2
Stephen Curry,GSW,43,0.4,1.7,1.06,0.4,0.1,0.4,37.5,53.1,5.6,5.6,5.6,0,38.9,39.2
Chimezie Metu,PHX,37,0.4,7.9,1.29,0.5,0.1,0.2,71.4,71.4,28.6,21.4,28.6,0,64.3,73.2
Cameron Johnson,BKN,39,0.4,3,1.2,0.5,0.2,0.3,50,58.3,13.3,6.7,13.3,0,53.3,58.8
Richaun Holmes,DAL,22,0.8,22.5,1,0.8,0.4,0.7,56.3,56.3,0,11.1,0,0,50,30.4
Jonathan Isaac,ORL,32,0.6,9.5,1,0.6,0.2,0.4,46.2,50,16.7,11.1,16.7,0,50,30.4
Georges Niang,CLE,47,0.4,4.3,1,0.4,0.1,0.4,41.2,50,5.6,0,5.6,0,44.4,30.4
Chris Boucher,TOR,44,0.3,5.6,1.21,0.4,0.1,0.2,50,62.5,50,0,50,7.1,64.3,61.8
Andrew Wiggins,GSW,42,0.3,2.5,1.21,0.4,0.1,0.2,62.5,62.5,28.6,14.3,28.6,0,64.3,61.8
Deni Avdija,WAS,49,0.3,2.7,1.06,0.3,0.1,0.3,43.8,53.1,0,0,0,0,43.8,39.8
Corey Kispert,WAS,48,0.4,3.6,0.94,0.4,0.1,0.3,46.7,53.3,5.6,11.1,5.6,0,44.4,25.3
Toumani Camara,POR,49,0.4,5.2,0.85,0.3,0.1,0.3,41.2,44.1,10,10,10,5,40,11.7
Immanuel Quickley,NYK,29,0.3,2.5,1.6,0.6,0.2,0.2,71.4,100,10,20,10,0,60,97.1
Cason Wallace,OKC,50,0.2,3.7,1.46,0.3,0.1,0.2,70,70,9.1,0,9.1,0,72.7,90.1
Kyle Anderson,MIN,50,0.2,3.3,1.33,0.3,0.1,0.2,62.5,62.5,41.7,0,41.7,8.3,75,79.9
Austin Reaves,LAL,50,0.3,1.8,1.23,0.3,0.1,0.2,75,81.3,15.4,30.8,7.7,7.7,53.8,65.1
Jalen Williams,OKC,44,0.3,1.8,1.23,0.4,0.2,0.3,53.8,61.5,0,0,0,0,53.8,65.1
Duncan Robinson,MIA,45,0.3,2.7,1.07,0.4,0.1,0.3,40,53.3,0,0,0,0,40,40.6
Derrick White,BOS,45,0.3,2.3,1.07,0.4,0.1,0.3,35.7,50,6.7,0,6.7,0,40,40.6
Josh Green,DAL,36,0.4,5.2,1,0.4,0.2,0.4,50,57.1,0,12.5,0,0,43.8,30.4
Terance Mann,LAC,42,0.4,5.7,0.89,0.4,0.1,0.3,46.2,50,11.1,16.7,11.1,0,44.4,14.6
Derrick Jones Jr.,DAL,44,0.5,5.9,0.67,0.4,0.1,0.5,30,35,8.3,8.3,8.3,0,33.3,4.1
Tobias Harris,PHI,44,0.4,2.2,0.94,0.3,0.1,0.3,46.2,46.2,12.5,12.5,12.5,6.3,43.8,24
Kentavious Caldwell-Pope,DEN,49,0.2,2.1,1.4,0.3,0.1,0.2,62.5,75,10,10,10,0,60,86.5
Zion Williamson,NOP,38,0.3,1.7,1.08,0.4,0.2,0.3,63.6,63.6,7.7,7.7,7.7,0,53.8,42.4
Orlando Robinson,MIA,20,0.7,17.1,1,0.7,0.3,0.5,60,60,14.3,21.4,14.3,7.1,50,30.4
Mike Muscala,WAS,24,0.8,15.5,0.78,0.6,0.2,0.7,37.5,43.8,0,11.1,0,0,33.3,8.3
Jeremy Sochan,SAS,50,0.4,2.7,0.78,0.3,0.1,0.3,31.3,31.3,11.1,0,11.1,0,38.9,8.3
Maxi Kleber,DAL,14,0.9,16.2,1.08,0.9,0.4,0.8,45.5,54.5,8.3,8.3,8.3,8.3,41.7,45.3
Bojan Bogdanovic,DET,28,0.4,2.2,1.08,0.5,0.2,0.4,41.7,54.2,0,0,0,0,41.7,45.3
Pat Connaughton,MIL,44,0.4,7.8,0.77,0.3,0.1,0.4,29.4,38.2,0,0,0,0,29.4,7.6
Draymond Green,GSW,22,0.5,5.4,1,0.5,0.2,0.5,50,55,8.3,16.7,8.3,8.3,41.7,30.4
Gary Trent Jr.,TOR,44,0.3,2.8,0.86,0.3,0.1,0.3,33.3,45.8,7.1,7.1,7.1,0,35.7,12.4
Russell Westbrook,LAC,48,0.3,2.3,0.86,0.3,0.1,0.2,40,45,21.4,14.3,21.4,7.1,42.9,12.4
Jerami Grant,POR,43,0.4,1.9,0.75,0.3,0.1,0.3,28.6,32.1,18.8,6.3,18.8,12.5,31.3,6.4
Klay Thompson,GSW,44,0.4,2.5,0.63,0.3,0.1,0.4,22.2,27.8,5.3,0,5.3,0,26.3,2.9
Jordan Poole,WAS,47,0.2,1.2,1.1,0.2,0.1,0.2,50,68.8,0,20,0,0,40,48
Khris Middleton,MIL,41,0.3,2,0.92,0.3,0.1,0.3,36.4,40.9,8.3,0,8.3,0,41.7,21.1
Caleb Houstan,ORL,36,0.4,7.7,0.85,0.3,0.1,0.3,25,37.5,7.7,0,7.7,0,30.8,11.1
Kevin Huerter,SAC,45,0.3,3,0.79,0.2,0.1,0.3,28.6,39.3,0,0,0,0,28.6,9.9
Kenrich Williams,OKC,39,0.3,5.7,1,0.3,0.1,0.2,44.4,55.6,0,10,0,0,40,30.4
Herbert Jones,NOP,43,0.3,2.6,0.91,0.2,0.1,0.2,44.4,44.4,9.1,9.1,9.1,0,45.5,18.3
Josh Giddey,OKC,49,0.2,1.7,0.91,0.2,0.1,0.2,44.4,55.6,0,18.2,0,0,36.4,18.3
Dean Wade,CLE,40,0.5,8.7,0.56,0.3,0.1,0.4,12.5,18.8,11.1,0,11.1,0,22.2,2.3
Jordan Goodwin,PHX,38,0.3,4.4,0.9,0.2,0.1,0.2,33.3,38.9,10,0,10,0,40,15.5
Alex Caruso,CHI,43,0.2,2.5,0.9,0.2,0.1,0.2,44.4,44.4,10,10,10,10,40,15.5
Bradley Beal,PHX,26,0.4,2.1,0.9,0.3,0.2,0.3,44.4,44.4,10,0,10,0,50,15.5
Fred VanVleet,HOU,47,0.2,1.3,0.9,0.2,0.1,0.2,30,45,0,0,0,0,30,15.5
Brandon Miller,CHA,42,0.3,1.6,0.73,0.2,0.1,0.2,30,40,0,9.1,0,0,27.3,5.8
Oshae Brissett,BOS,32,0.3,8.1,0.7,0.2,0.1,0.3,33.3,33.3,10,0,10,0,40,5.3
Cole Anthony,ORL,49,0.2,1.7,0.64,0.1,0,0.2,22.2,22.2,18.2,0,9.1,0,36.4,3.5
Patrick Williams,CHI,43,0.2,2.2,0.5,0.1,0,0.2,25,25,10,10,10,0,30,1.8
Malik Beasley,MIL,47,0.3,3.4,0.33,0.1,0,0.3,14.3,17.9,0,6.7,0,0,13.3,0.6
Jrue Holiday,BOS,45,0.2,1.7,0.4,0.1,0,0.2,22.2,22.2,0,10,0,0,20,1.2
Coby White,CHI,50,0.2,1.2,0.27,0.1,0,0.2,12.5,18.8,0,27.3,0,0,9.1,0
